"","state","year","e85","total_stations"
"1","Alabama","2007",3,71
"2","Alaska","2007",0,11
"3","Arizona","2007",13,134
"4","Arkansas","2007",4,51
"5","California","2007",6,856
"6","Colorado","2007",45,157
"7","Connecticut","2007",2,32
"8","Delaware","2007",1,8
"9","District of Columbia","2007",3,6
"10","Florida","2007",11,94
"11","Georgia","2007",11,96
"12","Hawaii","2007",0,16
"13","Idaho","2007",4,73
"14","Illinois","2007",159,244
"15","Indiana","2007",98,158
"16","Iowa","2007",75,112
"17","Kansas","2007",20,73
"18","Kentucky","2007",8,34
"19","Louisiana","2007",1,24
"20","Maine","2007",0,11
"21","Maryland","2007",8,44
"22","Massachusetts","2007",0,59
"23","Michigan","2007",51,164
"24","Minnesota","2007",313,348
"25","Mississippi","2007",1,42
"26","Missouri","2007",69,186
"27","Montana","2007",2,40
"28","Nebraska","2007",27,53
"29","Nevada","2007",6,73
"30","New Hampshire","2007",0,37
"31","New Jersey","2007",0,21
"32","New Mexico","2007",6,75
"33","New York","2007",8,83
"34","North Carolina","2007",12,138
"35","North Dakota","2007",23,41
"36","Ohio","2007",47,155
"37","Oklahoma","2007",4,131
"38","Oregon","2007",6,94
"39","Pennsylvania","2007",12,150
"40","Rhode Island","2007",0,13
"41","South Carolina","2007",55,159
"42","South Dakota","2007",59,76
"43","Tennessee","2007",11,118
"44","Texas","2007",33,635
"45","Utah","2007",4,93
"46","Vermont","2007",0,15
"47","Virginia","2007",5,54
"48","Washington","2007",7,112
"49","West Virginia","2007",3,12
"50","Wisconsin","2007",84,152
"51","Wyoming","2007",5,58
"52","Total","2007",1325,5692
"53","Alabama","2008",6,60
"54","Alaska","2008",0,11
"55","Arizona","2008",23,135
"56","Arkansas","2008",7,49
"57","California","2008",13,862
"58","Colorado","2008",65,144
"59","Connecticut","2008",4,31
"60","Delaware","2008",1,7
"61","District of Columbia","2008",3,6
"62","Florida","2008",18,97
"63","Georgia","2008",28,111
"64","Hawaii","2008",0,15
"65","Idaho","2008",5,44
"66","Illinois","2008",181,262
"67","Indiana","2008",111,162
"68","Iowa","2008",107,136
"69","Kansas","2008",23,74
"70","Kentucky","2008",11,25
"71","Louisiana","2008",3,18
"72","Maine","2008",0,14
"73","Maryland","2008",12,47
"74","Massachusetts","2008",1,51
"75","Michigan","2008",60,166
"76","Minnesota","2008",353,385
"77","Mississippi","2008",2,40
"78","Missouri","2008",87,164
"79","Montana","2008",1,37
"80","Nebraska","2008",35,58
"81","Nevada","2008",16,69
"82","New Hampshire","2008",0,33
"83","New Jersey","2008",0,22
"84","New Mexico","2008",8,76
"85","New York","2008",17,145
"86","North Carolina","2008",14,136
"87","North Dakota","2008",30,46
"88","Ohio","2008",64,162
"89","Oklahoma","2008",6,127
"90","Oregon","2008",8,102
"91","Pennsylvania","2008",19,114
"92","Rhode Island","2008",0,15
"93","South Carolina","2008",72,169
"94","South Dakota","2008",78,94
"95","Tennessee","2008",25,104
"96","Texas","2008",35,593
"97","Utah","2008",5,95
"98","Vermont","2008",0,11
"99","Virginia","2008",6,57
"100","Washington","2008",14,123
"101","West Virginia","2008",3,10
"102","Wisconsin","2008",113,173
"103","Wyoming","2008",6,55
"104","Total","2008",1699,5742
"105","Alabama","2009",16,191
"106","Alaska","2009",0,11
"107","Arizona","2009",26,143
"108","Arkansas","2009",10,63
"109","California","2009",45,937
"110","Colorado","2009",80,168
"111","Connecticut","2009",4,31
"112","Delaware","2009",1,7
"113","District of Columbia","2009",3,7
"114","Florida","2009",30,125
"115","Georgia","2009",37,122
"116","Hawaii","2009",0,12
"117","Idaho","2009",5,51
"118","Illinois","2009",204,311
"119","Indiana","2009",112,169
"120","Iowa","2009",124,153
"121","Kansas","2009",31,85
"122","Kentucky","2009",15,42
"123","Louisiana","2009",5,26
"124","Maine","2009",0,13
"125","Maryland","2009",15,46
"126","Massachusetts","2009",2,55
"127","Michigan","2009",95,199
"128","Minnesota","2009",351,381
"129","Mississippi","2009",4,47
"130","Missouri","2009",97,182
"131","Montana","2009",1,53
"132","Nebraska","2009",48,71
"133","Nevada","2009",14,68
"134","New Hampshire","2009",0,25
"135","New Jersey","2009",2,31
"136","New Mexico","2009",10,77
"137","New York","2009",38,177
"138","North Carolina","2009",19,227
"139","North Dakota","2009",30,59
"140","Ohio","2009",63,162
"141","Oklahoma","2009",11,123
"142","Oregon","2009",8,99
"143","Pennsylvania","2009",26,127
"144","Rhode Island","2009",0,12
"145","South Carolina","2009",87,142
"146","South Dakota","2009",78,96
"147","Tennessee","2009",29,114
"148","Texas","2009",41,629
"149","Utah","2009",5,92
"150","Vermont","2009",0,10
"151","Virginia","2009",9,79
"152","Washington","2009",15,144
"153","West Virginia","2009",3,13
"154","Wisconsin","2009",127,191
"155","Wyoming","2009",6,51
"156","Total","2009",1982,6449
"157","Alabama","2010",15,153
"158","Alaska","2010",0,11
"159","Arizona","2010",32,157
"160","Arkansas","2010",13,75
"161","California","2010",54,1011
"162","Colorado","2010",86,179
"163","Connecticut","2010",1,37
"164","Delaware","2010",1,8
"165","District of Columbia","2010",3,8
"166","Florida","2010",42,154
"167","Georgia","2010",41,133
"168","Hawaii","2010",1,17
"169","Idaho","2010",7,58
"170","Illinois","2010",219,341
"171","Indiana","2010",138,202
"172","Iowa","2010",144,173
"173","Kansas","2010",39,84
"174","Kentucky","2010",21,67
"175","Louisiana","2010",5,29
"176","Maine","2010",0,9
"177","Maryland","2010",19,57
"178","Massachusetts","2010",3,57
"179","Michigan","2010",109,221
"180","Minnesota","2010",360,396
"181","Mississippi","2010",3,50
"182","Missouri","2010",103,193
"183","Montana","2010",2,64
"184","Nebraska","2010",58,79
"185","Nevada","2010",26,89
"186","New Hampshire","2010",0,25
"187","New Jersey","2010",4,42
"188","New Mexico","2010",11,82
"189","New York","2010",75,238
"190","North Carolina","2010",20,254
"191","North Dakota","2010",55,85
"192","Ohio","2010",67,169
"193","Oklahoma","2010",13,126
"194","Oregon","2010",8,112
"195","Pennsylvania","2010",37,140
"196","Rhode Island","2010",0,13
"197","South Carolina","2010",101,165
"198","South Dakota","2010",101,121
"199","Tennessee","2010",39,170
"200","Texas","2010",48,646
"201","Utah","2010",5,109
