"","state","year","e85","total","ratio_e85"
"1","Alabama","2007",3,71,4.22535211267606
"2","Alaska","2007",0,11,0
"3","Arizona","2007",13,134,9.70149253731343
"4","Arkansas","2007",4,51,7.84313725490196
"5","California","2007",6,856,0.700934579439252
"6","Colorado","2007",45,157,28.6624203821656
"7","Connecticut","2007",2,32,6.25
"8","Delaware","2007",1,8,12.5
"9","District of Columbia","2007",3,6,50
"10","Florida","2007",11,94,11.7021276595745
"11","Georgia","2007",11,96,11.4583333333333
"12","Hawaii","2007",0,16,0
"13","Idaho","2007",4,73,5.47945205479452
"14","Illinois","2007",159,244,65.1639344262295
"15","Indiana","2007",98,158,62.0253164556962
"16","Iowa","2007",75,112,66.9642857142857
"17","Kansas","2007",20,73,27.3972602739726
"18","Kentucky","2007",8,34,23.5294117647059
"19","Louisiana","2007",1,24,4.16666666666667
"20","Maine","2007",0,11,0
"21","Maryland","2007",8,44,18.1818181818182
"22","Massachusetts","2007",0,59,0
"23","Michigan","2007",51,164,31.0975609756098
"24","Minnesota","2007",313,348,89.9425287356322
"25","Mississippi","2007",1,42,2.38095238095238
"26","Missouri","2007",69,186,37.0967741935484
"27","Montana","2007",2,40,5
"28","Nebraska","2007",27,53,50.9433962264151
"29","Nevada","2007",6,73,8.21917808219178
"30","New Hampshire","2007",0,37,0
"31","New Jersey","2007",0,21,0
"32","New Mexico","2007",6,75,8
"33","New York","2007",8,83,9.63855421686747
"34","North Carolina","2007",12,138,8.69565217391304
"35","North Dakota","2007",23,41,56.0975609756098
"36","Ohio","2007",47,155,30.3225806451613
"37","Oklahoma","2007",4,131,3.05343511450382
"38","Oregon","2007",6,94,6.38297872340426
"39","Pennsylvania","2007",12,150,8
"40","Rhode Island","2007",0,13,0
"41","South Carolina","2007",55,159,34.5911949685535
"42","South Dakota","2007",59,76,77.6315789473684
"43","Tennessee","2007",11,118,9.32203389830508
"44","Texas","2007",33,635,5.19685039370079
"45","Utah","2007",4,93,4.3010752688172
"46","Vermont","2007",0,15,0
