"","State","Year","enacted","incentives","tax_incentives","grant_incentives","other_incentives","regulations"
"1","US",2015,1,5,1,2,2,0
"2","US",2016,0,5,1,2,2,0
"3","US",2017,0,4,1,1,2,0
"4","US",2018,0,3,1,1,1,0
"5","US",2006,4,6,2,3,1,0
"6","US",2007,0,6,2,3,1,0
"7","US",2008,2,7,3,3,1,1
"8","US",2009,1,8,3,3,2,1
"9","US",2010,1,8,3,3,2,2
"10","US",2011,0,8,3,3,2,2
"11","US",2012,0,6,1,3,2,1
"12","US",2002,1,2,1,1,0,0
"13","US",2003,0,2,1,1,0,0
"14","US",2004,0,2,1,1,0,0
"15","US",2005,1,3,2,1,0,0
"16","US",1991,1,1,1,0,0,0
"17","US",1992,0,1,1,0,0,0
"18","US",1993,0,1,1,0,0,0
"19","US",1994,0,1,1,0,0,0
"20","US",1995,0,1,1,0,0,0
"21","US",1996,0,1,1,0,0,0
"22","US",1997,0,1,1,0,0,0
"23","US",1998,0,1,1,0,0,0
"24","US",1999,0,1,1,0,0,0
"25","US",2000,0,1,1,0,0,0
"26","US",2001,0,1,1,0,0,0
"27","US",2013,0,4,1,1,2,1
"28","US",2014,0,4,1,1,2,1
"29","US",2020,1,2,2,0,0,0
"30","HI",2000,1,1,0,0,1,1
"31","HI",2001,0,1,0,0,1,1
"32","HI",2002,0,1,0,0,1,1
"33","HI",2003,0,1,0,0,1,1
"34","HI",2004,0,1,0,0,1,1
"35","ID",2007,3,3,2,1,0,0
"36","ID",2008,0,3,2,1,0,0
"37","ID",2009,0,3,2,1,0,0
"38","IL",2005,2,2,0,0,2,3
"39","IL",2006,1,3,0,0,3,3
"40","IL",2007,2,3,0,0,3,5
"41","IL",2008,1,3,0,0,3,6
"42","IL",2009,2,3,0,0,3,8
"43","IL",2010,3,3,0,1,2,9
"44","IL",2011,0,3,0,1,2,7
"45","IL",2012,0,3,0,1,2,7
"46","IL",2013,0,3,0,1,2,5
"47","IL",2014,1,4,0,1,3,5
"48","IL",2015,1,5,0,2,3,2
"49","IL",2016,0,6,0,3,3,2
"50","IL",2017,1,5,0,2,3,2
"51","IL",2003,2,1,0,0,1,1
"52","IL",2004,1,1,0,0,1,2
"53","IA",2003,2,1,0,0,1,2
"54","IA",2004,2,2,0,1,1,3
"55","IA",2005,0,2,0,1,1,3
"56","IA",2006,0,2,0,1,1,3
"57","IA",2007,3,4,0,2,2,4
"58","KS",2011,1,3,2,0,1,1
"59","KS",2012,0,2,1,0,1,1
"60","KS",2013,0,1,0,0,1,0
"61","KS",2014,0,1,0,0,1,0
"62","KS",2015,0,1,0,0,1,0
"63","KS",2016,0,1,0,0,1,0
"64","KS",2017,0,1,0,0,1,0
"65","KS",2018,0,1,0,0,1,0
"66","LA",2005,1,1,1,0,0,0
"67","LA",2006,0,1,1,0,0,0
"68","LA",2007,0,1,1,0,0,0
"69","LA",2008,4,3,1,1,1,2
"70","LA",2009,0,3,1,1,1,2
"71","LA",1999,1,0,0,0,0,1
"72","LA",2000,0,0,0,0,0,1
"73","LA",2001,0,0,0,0,0,1
"74","LA",2002,0,0,0,0,0,1
"75","LA",2003,0,0,0,0,0,1
"76","MA",1996,1,0,0,0,0,1
"77","MA",1997,0,0,0,0,0,1
"78","MA",1998,0,0,0,0,0,1
"79","MA",1999,0,0,0,0,0,1
"80","MA",2000,0,0,0,0,0,1
"81","MA",2001,0,0,0,0,0,1
"82","MA",2002,0,0,0,0,0,1
"83","MA",2003,0,0,0,0,0,1
"84","MA",2004,0,0,0,0,0,1
"85","MA",2005,0,0,0,0,0,1
"86","MA",2006,0,0,0,0,0,1
"87","MA",2007,1,0,0,0,0,2
"88","MA",2008,0,0,0,0,0,2
"89","MA",2009,5,1,0,0,1,6
"90","MA",2010,0,1,0,0,1,6
"91","MA",2011,0,1,0,0,1,1
"92","MA",2012,0,1,0,0,1,1
"93","MN",2006,1,1,1,0,0,1
"94","MN",2007,2,1,1,0,0,3
"95","MN",2008,1,1,1,0,0,4
"96","MN",2009,1,2,1,1,0,4
"97","MN",2010,2,3,2,1,0,5
"98","MT",2018,1,2,2,0,0,0
"99","MT",2019,0,2,2,0,0,0
"100","MT",2020,0,2,2,0,0,0
"101","MT",2021,0,2,2,0,0,0
"102","MT",2022,0,2,2,0,0,0
"103","MT",2008,1,1,1,0,0,2
"104","MT",2009,0,1,1,0,0,2
"105","MT",2010,0,1,1,0,0,2
"106","MT",2011,0,1,1,0,0,2
"107","MT",2012,0,1,1,0,0,2
"108","NM",2015,1,1,0,1,0,1
"109","NM",2016,0,1,0,1,0,1
"110","NM",2017,0,1,0,1,0,1
"111","NY",2002,1,2,1,0,1,2
"112","NY",2003,0,2,1,0,1,2
"113","NY",2004,0,2,1,0,1,2
"114","NY",2005,0,1,0,0,1,2
"115","NY",2006,2,1,0,0,1,4
"116","OK",2005,1,1,1,0,0,1
"117","OK",2006,1,1,1,0,0,2
"118","OK",2007,1,1,1,0,0,2
"119","OK",2008,1,1,1,0,0,3
"120","OK",2009,2,2,1,0,1,4
"121","OK",2013,3,3,1,0,2,2
"122","OK",2014,0,2,1,0,1,2
"123","OK",2015,0,1,0,0,1,2
"124","OK",2016,0,1,0,0,1,2
"125","OK",2017,0,1,0,0,1,1
"126","OR",2008,3,7,5,2,0,0
"127","OR",2009,0,5,5,0,0,0
"128","OR",2010,0,5,5,0,0,0
"129","OR",2011,1,6,5,0,1,0
"130","PA",2002,1,1,0,0,1,0
"131","PA",2003,0,1,0,0,1,0
"132","PA",2004,0,1,0,0,1,0
"133","PA",2005,0,1,0,0,1,0
"134","RI",2004,2,2,2,0,0,0
"135","RI",2005,1,3,2,0,1,0
"136","RI",2006,0,3,2,0,1,0
"137","RI",2007,0,3,2,0,1,0
"138","RI",2008,0,2,1,0,1,0
"139","RI",2009,0,1,0,0,1,0
"140","UT",2015,1,0,0,0,0,1
"141","UT",2016,0,0,0,0,0,1
"142","UT",2017,0,0,0,0,0,1
"143","UT",2018,0,0,0,0,0,1
"144","UT",2019,0,0,0,0,0,1
"145","WV",2002,1,1,1,0,0,0
"146","WV",2003,0,1,1,0,0,0
"147","WV",2004,0,1,1,0,0,0
"148","WV",2005,0,1,1,0,0,0
