"","X","state","year","e85","total_stations","enacted","incentives","tax_incentives","grant_incentives","other_incentives","regulations","eth.production","corn.production","corn.prices","state_abb","missing_eth","missing_corn_prod","missing_corn_prices"
"1",12,"Alabama",2007,3,71,1,0,0,0,0,1,0,21840000,4.54,"AL",0,0,0
"2",11,"Alabama",2008,6,60,1,1,0,0,1,1,0,24440000,5.26,"AL",0,0,0
"3",2,"Alabama",2009,16,191,2,2,1,0,1,2,0,2.7e+07,3.89,"AL",0,0,0
"4",7,"Alabama",2010,15,153,0,2,1,0,1,2,0,28750000,5.07,"AL",0,0,0
"5",6,"Alabama",2011,0,9,0,2,1,0,1,2,0,28500000,6.32,"AL",0,0,0
"6",9,"Alabama",2012,0,12,0,2,1,0,1,2,0,28910000,7.18,"AL",0,0,0
"7",15,"Alabama",2013,0,10,0,1,1,0,0,1,0,43365000,4.71,"AL",0,0,0
"8",10,"Alabama",2014,32,259,0,1,1,0,0,1,0,45315000,3.75,"AL",0,0,0
"9",13,"Alabama",2015,31,375,0,1,1,0,0,1,0,36015000,3.74,"AL",0,0,0
"10",3,"Alabama",2016,32,390,0,0,0,0,0,1,0,37800000,3.63,"AL",0,0,0
"11",5,"Alabama",2017,39,489,0,0,0,0,0,1,0,39245000,4.04,"AL",0,0,0
"12",16,"Alabama",2018,40,558,0,0,0,0,0,0,0,37686666.6666667,4.66898969072165,"AL",1,1,1
"13",8,"Alabama",2019,34,651,0,0,0,0,0,0,0,38243888.8888889,4.66898969072165,"AL",1,1,1
"14",14,"Alabama",2020,29,736,0,0,0,0,0,0,0,38391851.8518519,4.66898969072165,"AL",1,1,1
"15",4,"Alabama",2021,33,823,0,0,0,0,0,0,0,38107469.1358025,4.66898969072165,"AL",1,1,1
"16",1,"Alabama",2022,31,983,0,0,0,0,0,0,0,38247736.6255144,4.66898969072165,"AL",1,1,1
"17",21,"Alaska",2007,0,11,1,0,0,0,0,1,0,0,4.66898969072165,"AK",0,1,1
"18",18,"Alaska",2008,0,11,0,0,0,0,0,1,0,0,4.66898969072165,"AK",0,1,1
"19",17,"Alaska",2009,0,11,0,0,0,0,0,1,0,0,4.66898969072165,"AK",0,1,1
"20",32,"Alaska",2010,0,11,0,0,0,0,0,1,0,0,4.66898969072165,"AK",0,1,1
"21",25,"Alaska",2011,20,148,0,0,0,0,0,1,0,0,4.66898969072165,"AK",0,1,1
"22",28,"Alaska",2012,28,198,0,0,0,0,0,0,0,0,4.66898969072165,"AK",1,1,1
"23",31,"Alaska",2013,29,225,0,0,0,0,0,0,0,0,4.66898969072165,"AK",1,1,1
"24",19,"Alaska",2014,0,8,0,0,0,0,0,0,0,0,4.66898969072165,"AK",1,1,1
"25",26,"Alaska",2015,0,11,0,0,0,0,0,0,0,0,4.66898969072165,"AK",1,1,1
"26",23,"Alaska",2016,0,13,0,0,0,0,0,0,0,0,4.66898969072165,"AK",1,1,1
"27",30,"Alaska",2017,0,19,0,0,0,0,0,0,0,0,4.66898969072165,"AK",1,1,1
"28",29,"Alaska",2018,0,18,0,0,0,0,0,0,0,0,4.66898969072165,"AK",1,1,1
"29",27,"Alaska",2019,0,40,0,0,0,0,0,0,0,0,4.66898969072165,"AK",1,1,1
"30",22,"Alaska",2020,0,49,0,0,0,0,0,0,0,0,4.66898969072165,"AK",1,1,1
"31",24,"Alaska",2021,0,97,0,0,0,0,0,0,0,0,4.66898969072165,"AK",1,1,1
"32",20,"Alaska",2022,0,118,0,0,0,0,0,0,0,0,4.66898969072165,"AK",1,1,1
"33",34,"Arizona",2007,13,134,0,0,0,0,0,0,1258,3531666.66666667,4.66898969072165,"AZ",1,1,1
"34",44,"Arizona",2008,23,135,1,1,0,1,0,0,1290,2475000,5.8,"AZ",0,0,0
