Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
274,US,Air Pollution Control Program,"The Air Pollution Control Program assists state, local, and tribal
agencies in planning, developing, establishing, improving, and
maintaining adequate programs for prevention and control of air
pollution or implementation of national air quality standards. Plans may
emphasize alternative fuels, vehicle maintenance, and transportation
choices to reduce vehicle miles traveled. Eligible applicants may
receive federal funding for up to 60% of project costs to implement
their plans. (Reference 42 [U.S. Code](http://www.gpo.gov/fdsys/) 7405)
",,,false,36,Programs,U.S. Environmental Protection Agency,,,2018-12-01 00:00:00 UTC,,"",BIOD|ETH|ELEC|EFFEC|HEV|HY|NG|PHEV|LPG,GNT,"",FLEET,"",archived,2018-12-01
309,US,Clean Fuels Grant Program,"The following was repealed by [Public
Law](https://www.congress.gov/public-laws/116th-congress) 112-141: The
[Clean Fuels Grant
Program](https://www.transit.dot.gov/funding/grants/clean-fuels-grant-program-5308)
assists designated ozone and carbon monoxide air quality nonattainment
and maintenance areas in achieving or maintaining the National Ambient
Air Quality Standards through grant funding. The program accelerates the
deployment of advanced bus technologies by supporting the use of low
emission vehicles in transit fleets. The program assists transit
agencies in purchasing low-emission buses and related equipment,
constructing alternative fuel stations, modifying garage facilities to
accommodate clean fuel vehicles, and assisting with the use of
biodiesel. (Reference 49 [U.S. Code](http://www.gpo.gov/fdsys/) 5308 and
49 [CFR](http://www.gpo.gov/fdsys/) 624)
",2005-08-10 00:00:00 UTC,,false,55,Incentives,U.S. Department of Transportation,,,,2012-07-06 00:00:00 UTC,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,GNT,"",STATION|FLEET,"",repealed,2012-07-06
321,US,Petroleum Violation Escrow Account,"Oil overcharge funds, also known as petroleum violation escrow
(PVE) funds, came from fines paid by oil companies in violation
of the federal oil price caps in place from 1973-1981. These
funds may be used for energy efficiency and renewable energy
projects. More than half the account's money is channeled through
the U.S. Department of Energy's (DOE) State Energy and
Weatherization Assistance Programs and the U.S. Department of
Health and Human Services' Low-Income Home Energy Assistance
Program. These programs grant funds (with DOE review) to states
for a broad range of energy-related programs. To date, more than
$4 billion in PVE funds have been made available to states. For
more information, contact Faith Lambert, DOE, Office of State and
Community Programs, at (202) 586-2319, faith.lambert@hq.doe.gov,
or your State Energy Office (listed under your state's Points of
Contact section).",,,false,20,Incentives,U.S. Department of Energy,,2005-12-31 00:00:00 UTC,,,"",BIOD|ETH|ELEC|EFFEC|HY|NG|PHEV|LPG,GNT,"",FLEET,"",expired,2005-12-31
352,US,Small Ethanol Producer Tax Credit,"A small ethanol producer that is registered with the Internal Revenue
Service (IRS) may be eligible for a tax incentive in the amount of
\$0.10 per gallon of ethanol that is: sold and used by the purchaser in
the purchaser\'s trade or business to produce an ethanol fuel mixture;
sold and used by the purchaser as a fuel in a trade or business; sold at
retail for use as a motor vehicle fuel; used by the producer in a trade
or business to produce an ethanol fuel mixture; or used by the producer
as a fuel in a trade or business. A small producer is one that has, at
all times during the tax year, not more than 60 million gallons of
productive capacity of any type of alcohol. The incentive applies only
to the first 15 million gallons of ethanol produced in a tax year and is
allowed as a credit against the producer\'s income tax liability. This
tax credit expired December 31, 2011. For more information, see IRS
Publication 510 and IRS Forms 637 and 6478, which are available via the
[IRS](http://www.irs.gov/) website. (Reference Public Law 111-312,
Section 708; and 26 [U.S. Code](http://www.gpo.gov/fdsys/) 40)
",1990-11-05 00:00:00 UTC,2010-12-17 00:00:00 UTC,false,14,Incentives,U.S. Internal Revenue Service,,2011-12-31 00:00:00 UTC,,,"",ETH,TAX,"",AFP,http://thomas.loc.gov/|http://www.gpo.gov/fdsys/,expired,2011-12-31
380,US,Alternative Transportation in Parks and Public Lands Program,"The following was repealed by [Public
Law](https://www.congress.gov/public-laws/116th-congress) 112-141: The
[Alternative Transportation in Parks and Public
Lands](https://www.transit.dot.gov/funding/grants/applying/alternative-transportation-parks-and-public-lands-program-manual)
provides funding to support public transportation projects in parks and
on public lands. The goals of the program include conservation of
natural, historical, and cultural resources, and reduced congestion and
pollution. The Federal Transit Administration administers the program
while partnering with the U.S. Department of the Interior and the Forest
Service to provide for technical assistance in alternative
transportation options. Eligible projects include capital and planning
expenses for alternative transportation systems such as clean fuel
shuttle vehicles. (Reference 49 [U.S. Code](http://www.gpo.gov/fdsys/)
5320)
",2005-08-10 00:00:00 UTC,,false,51,Incentives,U.S. Department of Transportation,,,,2012-07-06 00:00:00 UTC,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,GNT,"",FLEET,"",repealed,2012-07-06
382,US,Bio-Based Transportation Research Funding,"The Surface Transportation Research, Development, and Deployment (STRDD)
Program funds activities that promote innovation in transportation
infrastructure, services, and operations. A portion of the funding made
available to STRDD is set aside for the Bio-Based Transportation
Research program to carry out bio-based research of national importance
at research centers and through Clean Fuels Alliance America. For more
information, see the [STRDD
Program](http://www.fhwa.dot.gov/safetealu/factsheets/str.htm) website.
The program is not currently funded (verified July 2016). (Reference 23
[U.S. Code](http://www.gpo.gov/fdsys/) 502 and 7 [U.S.
Code](http://www.gpo.gov/fdsys/) 8109)
",2005-08-10 00:00:00 UTC,,false,53,Incentives,U.S. Department of Transportation,,,2016-07-01 00:00:00 UTC,,"",BIOD|ETH,GNT,"",STATION|FLEET|OTHER,http://www.gpo.gov/fdsys/|http://www.gpo.gov/fdsys/,archived,2016-07-01
393,US,Import Duty for Fuel Ethanol,"The U.S. Customs and Border Protection imposes a 2.5% ad valorem
tariff on the import of ethanol for use in fuel which is based on
the percent volume of the fuel at the time of transaction.
Importers of ethanol must follow the same regulations as domestic
producers, including registering with the IRS. (Reference Public
Laws ( http://www.gpo.gov/fdsys/ ) 96-499, 99-514, 109-423, and
110-234)",,,false,70,Laws and Regulations,U.S. Customs and Border Protection,,2011-12-31 00:00:00 UTC,,,"",ETH,"",FUEL,STATION|AFP,http://www.gpo.gov/fdsys/,expired,2011-12-31
399,US,Volumetric Ethanol Excise Tax Credit (VEETC),"An ethanol blender that is registered with the Internal Revenue Service
(IRS) may be eligible for a tax incentive in the amount of \$0.45 per
gallon of pure ethanol (minimum 190 proof) blended with gasoline. Only
entities that have produced and sold or used the qualified mixture as a
fuel in their trade or business are eligible for the tax credit. The
incentive must first be taken as a credit against the blender\'s fuel
tax liability; any excess over this tax liability may be claimed as a
direct payment from the IRS. This tax credit expired December 31, 2011.
For more information, see IRS Publication 510 and IRS Forms 637, 720,
4136, 6478, and 8849, which are available via the
[IRS](http://www.irs.gov/) website. (Reference Public Law 111-312,
Section 708; and 26 [U.S. Code](http://www.gpo.gov/fdsys/) 6426)
",2004-10-22 00:00:00 UTC,2010-12-17 00:00:00 UTC,false,14,Incentives,U.S. Internal Revenue Service,,2011-12-31 00:00:00 UTC,,,"",ETH,TAX,"",STATION|AFP,http://thomas.loc.gov/|http://www.gpo.gov/fdsys/,expired,2011-12-31
413,US,Second Generation Biofuel Plant Depreciation Deduction Allowance,"NOTE: This incentive originally expired on December 31, 2017, but was
retroactively extended through December 31, 2020, by Public Law 116-94.

A second generation biofuel production plant placed into service between
December 31, 2017, and December 31, 2020, may be eligible for an
additional depreciation tax deduction allowance equal to 50% of the
adjusted basis of the property. The plant must be solely used to produce
second generation biofuel and is only eligible for the depreciation
allowance for the first year in operation. Second generation biofuel is
defined as liquid fuel produced from any lignocellulosic or
hemicellulosic matter that is available on a renewable basis or any
cultivated algae, cyanobacteria, or lemna. (Reference [Public
Law](https://www.congress.gov/public-laws/116th-congress) 116-94,
[Public Law](https://www.congress.gov/public-laws/112th-congress)
112-240 and 26 [U.S.
Code](https://www.govinfo.gov/app/collection/uscode) 168)
",,2019-12-20 00:00:00 UTC,false,,Incentives,U.S. Internal Revenue Service,2019-12-23 20:37:05 UTC,2020-12-31 00:00:00 UTC,,,"",BIOD|ETH,TAX,"",AFP,http://thomas.loc.gov/home/LegislativeData.php?&n=PublicLaws&c=112|http://www.gpo.gov/fdsys/|https://www.congress.gov/,expired,2020-12-31
430,US,Renewable Fuels Assessment,"The U.S. Department of Defense (DOD) prepared a report, Opportunities
for DOD Use of Alternative and Renewable Fuels, on the use and potential
use of renewable fuels in meeting DOD\'s energy requirements for the
Senate and House of Representatives Armed Services Committees. The
report assessed the use of renewable fuels, including domestically
produced algae-based fuels, biodiesel, and biomass derived fuels, as
alternative fuels in ground transportation, aviation, and maritime
fleets. The report also assessed the potential benefit of establishing a
renewable fuel commodity class that is distinct from petroleum-based
products. DOD also incorporated alternative fuels into the Operational
Energy Strategy and the associated Implementation plan. For more
information, see the DOD [Office of the Assistant Secretary of Defense
for Operational Energy Plans and
Programs](https://www.acq.osd.mil/eie/OE/OE_index.html) website.
(Reference Public Law 111-84, Section 334)
",2009-10-28 00:00:00 UTC,,false,,Laws and Regulations,U.S. Department of Defense,2015-01-02 15:47:30 UTC,,2014-10-01 00:00:00 UTC,,"",BIOD|ETH,"",CCEINIT,OTHER,http://thomas.loc.gov/bss/d110/d110laws.html,archived,2014-10-01
